star_name,label,mission,n_points
Kepler-7,1,Kepler,41587
Kepler-10,1,Kepler,43303
Kepler-11,1,Kepler,43068
Kepler-16,1,Kepler,43017
Kepler-22,1,Kepler,38234
Kepler-62,1,Kepler,1624
Kepler-186,1,Kepler,1621
Kepler-442,1,Kepler,1623
Kepler-452,1,Kepler,469
Kepler-1649,1,Kepler,4268
TOI-700,1,TESS,18279
TOI-1338,1,TESS,14445
TOI-2257,1,TESS,18422
LHS 3844,1,TESS,18272
GJ 357,1,TESS,13038
HD 21749,1,TESS,18276
K2-18,1,K2,3518
K2-55,1,K2,3080
K2-141,1,K2,3345
K2-229,1,K2,2040
TRAPPIST-1,1,K2,103700
KIC 3733735,0,Kepler,43333
KIC 4914423,0,Kepler,43072
KIC 5955122,0,Kepler,49030
KIC 6289650,0,Kepler,1622
KIC 7103006,0,Kepler,38262
KIC 8077137,0,Kepler,14226
KIC 9410930,0,Kepler,1545
TIC 167602025,0,TESS,18262
TIC 259962054,0,TESS,18275
TIC 394050135,0,TESS,19607
TIC 441798995,0,TESS,18422
EPIC 201170410,0,K2,3537
EPIC 201498078,0,K2,3577
EPIC 202059229,0,K2,51997
EPIC 211305568,0,K2,3426
EPIC 212297394,0,K2,3505
